name,product_weight,box_weight,declared_value,price,product_ads_extension,format_id
8x10 Photo Only,0.5,1.5,0,24,A,1
8x10 Photo w/ 11x14 Mat,0.5,1.5,0,34,B,1
8x10 Photo w/ 11x14 Mat - Framed,2.5,1.5,0,69,C,1
11x14 Photo Only,0.5,1.5,0,34,D,1
11x14 Photo w/ 14x18 Mat,0.75,1.5,0,49,E,1
11x14 Photo w/ 14x18 Mat - Framed,3,1.5,0,89,F,1
16x20 Photo Only,0.5,1.5,0,89,G,1
16x20 Photo w/ 20x24 Mat,1.5,1.5,0,119,H,1
16x20 Photo w/ 20x24 Mat - Framed,6.25,3,0,179,I,1
20x30 Photo Only,0.5,1.5,0,199,J,1
20x30 Photo w/ 24x36 Mat,3,8,175,249,K,1
20x30 Photo w/ 24x36 Mat - Framed,14,8,175,339,L,1
11x16 Photo Only,0.5,1.5,0,49,A,2
11x16 Photo w/ 16x20 Mat,1,1.5,0,69,B,2
11x16 Photo w/ 16x20 Mat - Framed,3.5,1.5,0,99,C,2
16x24 Photo Only,0.5,1.5,0,99,D,2
16x24 Photo w/ 20x28 Mat,1.75,1.5,0,139,E,2
16x24 Photo w/ 20x28 Mat - Framed,6.5,3,0,189,F,2
20x30 Photo Only,0.5,1.5,0,199,G,2
20x30 Photo w/ 24x36 Mat,3,8,175,249,H,2
20x30 Photo w/ 24x36 Mat - Framed,14,14,175,329,I,2
8x23 Photo Only,0.75,1.5,0,79,A,3
8x23 Photo w/ 11x26 Mat,0.75,1.5,0,119,B,3
8x23 Photo w/ 11x26 Mat - Framed,4,3,0,169,C,3
12x36 Photo Only,0.75,1.5,0,159,D,3
12x36 Photo w/ 18x40 Mat,2,1.5,0,209,E,3
12x36 Photo w/ 18x40 Mat - Framed,8.5,8,175,279,F,3